Name,Part Number,Material,Soldermask,Silkscreen,Finish,Thickness (mm),Length (mm),Width (mm),Trace (mil),Hole (mm)
uClouds SE Main Board,TD-UCSE-D-MB,FR-4,Matte black,White,ENIG,1.6,110.5,40.0,10,0.25
uClouds SE Control Board,TD-UCSE-D-CB,FR-4,Matte black,White,ENIG,1.6,110.5,40.0,10,0.35
uClouds SE Front Panel,TD-UCSE-D-FP,FR-4,Matte black,None,ENIG,2.0,128.5,40.3,N/A,N/A
uClouds SE Assembly Template,TD-UCSE-D-AT,FR-4,Green,White,ENIG,2.0,110.5,40.0,N/A,N/A
uClouds SE Button Shim,TD-UCSE-D-BS,FR-4,Black,White,None,1.2,9.0,9.0,N/A,0.8
