Description,Quantity
"Button Shim, FR-4, Black, 1.2 mm",1
"Micro Knob, T18 Shaft, Black",1
"Thonkiconn Knurled Nut, Steel, M6",12
"Threaded Hex Standoff, Brass, M2.5 x 11 mm",2
"Standoff Screw, Button Head, Hex Socket, M2.5 x 6 mm",4
